go_id	go_name	go_domain	tax_id	annotation_type	size	gene_ids	gene_symbols
GO:0000002	mitochondrial genome maintenance	biological_process	10090	direct	14	17258|17527|23797|27393|27395|27397|70556|72962|74143|74528|83408|192287|208084|381760	Mef2a|Mpv17|Akt3|Mrpl39|Mrpl15|Mrpl17|Slc25a33|Tymp|Opa1|Mgme1|Gimap3|Slc25a36|Pif1|Ssbp1
GO:0000009	alpha-1,6-mannosyltransferase activity	molecular_function	10090	direct	2	223774|230801	Alg12|Pigv
GO:0000012	single strand break repair	biological_process	10090	direct	13	14211|21958|22064|22594|66408|70099|71991|72103|93759|104884|234258|319583|319955	Smc2|Tnp1|Trpc2|Xrcc1|Aptx|Smc4|Ercc8|Aplf|Sirt1|Tdp1|Neil3|Lig4|Ercc6
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	10090	direct	12	13804|13870|17535|19205|19360|50505|66595|74729|77782|208194|225182|227525	Endog|Ercc1|Mre11a|Ptbp1|Rad50|Ercc4|Aste1|Setmar|Polq|Exog|Rbbp8|Dclre1c
GO:0000015	phosphopyruvate hydratase complex	cellular_component	10090	direct	5	13806|13807|13808|226265|433182	Eno1|Eno2|Eno3|Eno4|Eno1b
GO:0000016	lactase activity	molecular_function	10090	direct	1	226413	Lct
GO:0000017	alpha-glucoside transport	biological_process	10090	direct	2	20537|246787	Slc5a1|Slc5a2
GO:0000018	regulation of DNA recombination	biological_process	10090	direct	1	13990	Smarcad1
GO:0000019	regulation of mitotic recombination	biological_process	10090	direct	1	19360	Rad50
GO:0000025	maltose catabolic process	biological_process	10090	direct	1	232714	Mgam
GO:0000026	alpha-1,2-mannosyltransferase activity	molecular_function	10090	direct	3	55981|102580|239827	Pigb|Alg9|Pigz
GO:0000027	ribosomal large subunit assembly	biological_process	10090	direct	13	12181|17725|59014|67025|67239|67832|68077|68193|69902|100019|110109|238217|100503670	Bop1|mt-Rnr2|Rrs1|Rpl11|Rpf2|Brix1|Nop53|Rpl24|Mrto4|Mdn1|Nop2|Rpl10l|Rpl5
GO:0000028	ribosomal small subunit assembly	biological_process	10090	direct	17	14109|16785|17724|20044|20054|20085|20103|20104|50529|54127|57294|57837|67941|74778|75617|110816|105244208	Fau|Rpsa|mt-Rnr1|Rps14|Rps15|Rps19|Rps5|Rps6|Mrps7|Rps28|Rps27|Eral1|Rps27l|Rrp7a|Rps25|Pwp2|Rps6-ps4
GO:0000030	mannosyltransferase activity	molecular_function	10090	direct	16	55981|67556|70551|99011|208211|217734|223774|230801|233115|237500|239827|244745|278279|320752|381510|387314	Pigb|Pigm|Tmtc4|Pomt1|Alg1|Pomt2|Alg12|Pigv|Dpy19l3|Tmtc3|Pigz|Dpy19l1|Tmtc2|Dpy19l2|Dpy19l4|Tmtc1
GO:0000033	alpha-1,3-mannosyltransferase activity	molecular_function	10090	direct	1	56737	Alg2
GO:0000035	acyl binding	molecular_function	10090	direct	1	70316	Ndufab1
GO:0000036	acyl carrier activity	molecular_function	10090	direct	1	70316	Ndufab1
GO:0000038	very long-chain fatty acid metabolic process	biological_process	10090	direct	21	11430|11666|14081|15488|19299|19302|19305|26458|26459|26569|26874|54326|93732|94180|113868|171210|171281|171282|216739|217698|235674	Acox1|Abcd1|Acsl1|Hsd17b4|Abcd3|Pex2|Pex5|Slc27a2|Slc27a5|Slc27a4|Abcd2|Elovl2|Acox2|Acsbg1|Acaa1a|Acot2|Acot3|Acot4|Acsl6|Acot5|Acaa1b
GO:0000041	transition metal ion transport	biological_process	10090	direct	1	18174	Slc11a2
GO:0000045	autophagosome assembly	biological_process	10090	direct	84	11781|11793|11938|12421|13033|13853|15944|15953|16145|17772|19164|19324|19331|19335|19337|19338|19349|21822|22034|22241|27060|29869|51897|52639|54396|54609|54636|56085|56208|56486|57436|60440|60599|66048|66615|66734|66795|66840|67443|67526|67841|68053|68118|68728|69807|69834|71742|72512|73683|74244|74781|75909|76308|76559|77040|93739|100226|102926|118449|213948|217379|217893|225326|225594|226720|228361|229722|231855|233724|235040|240327|240328|242557|245860|329015|386649|432555|435626|620913|631323|666468|667214|100039796|100504663	Ap4m1|Atg5|Atp2a2|Rb1cc1|Ctsd|Epm2a|Irgm1|Ifi47|Igtp|Mtm1|Psen1|Rab1a|Rab19|Rab23|Rab33a|Rab33b|Rab7|Tgtp1|Traf6|Ulk1|Tcirg1|Ulk2|Atg13|Wipi1|Irgm2|Ubqln2|Wdr45|Ubqln1|Becn1|Gabarap|Gabarapl1|Iigp1|Trp53inp1|Emc6|Atg4b|Map1lc3a|Atg10|Wdr45b|Map1lc3b|Atg12|Atg3|Ubxn2b|Atg101|Trp53inp2|Trim32|Rab43|Ulk3|Sting1|Atg16l2|Atg7|Wipi2|Vmp1|Rab1b|Atg2b|Atg16l1|Gabarapl2|Stx12|Atg4a-ps|Synpo2|Atg9b|Ubxn2a|Pacs2|Pik3c3|Gm4841|Becn2|Ambra1|Elapor1|Ap5z1|Tmem41b|Atg4d|Iigp1c|F830016B08Rik|Atg4c|Atg9a|Atg2a|Nsfl1c|Gm5431|Rufy4|Gm12185|Gm12250|Atg4a|9930111J21Rik1|Tgtp2|Atg14
GO:0000048	peptidyltransferase activity	molecular_function	10090	direct	2	14598|23887	Ggt1|Ggt5
GO:0000049	tRNA binding	molecular_function	10090	direct	79	13627|13664|13722|14904|14911|15108|17299|19988|20226|20556|20589|20823|21752|26905|26908|27103|27267|28114|52575|54351|56361|65967|66044|66235|66244|66369|66590|66965|67097|67417|67667|67789|67851|68736|69934|69955|70047|70120|71787|71799|71984|71989|72026|72181|72322|72650|73192|73681|74174|74195|74455|83669|85305|98685|98956|104458|105148|106248|106338|107271|108943|211006|211064|212528|214580|216443|218506|224805|226982|229317|230233|230734|233189|234734|237886|276950|319582|328092|381314	Eef1a1|Eif1a|Aimp1|Gtpbp1|Thumpd3|Hsd17b10|Mettl1|Rpl6|Sars1|Slfn2|Ighmbp2|Ssb|Tert|Eif2s3x|Eif2s3y|Eif2ak4|Cars1|Nsun2|Trmt10c|Elp5|Pus1|Eefsec|Dtd1|Eif1ax|Nemf|Dus2|Farsa|Ctu2|Rps10|Ears2|Alkbh8|Dalrd3|Mtres1|Tyw5|Trmt10b|Fars2|Trnt1|Yars2|Trnau1ap|Ptcd1|Sars2|Rpusd4|Trmu|Nsun4|Xpo5|Mtrfr|Xpot|Trmt11|Gtsf1|Elp3|Nsun6|Wdr6|Kars1|Trmt1l|Nat10|Rars1|Iars1|Qtrt2|Nsun3|Yars1|Trmt10a|Sepsecs|Alkbh1|Trmt1|Pstk|Mars1|Mrps27|Aars2|Eif5b|Eif2a|Elp1|Yrdc|Ctu1|Aars1|Slfn9|Slfn8|Trmt9b|Dtd2|Iars2
