go_id	go_term	go_domain	size	genes
GO:0000002	mitochondrial genome maintenance	biological_process	9	Akt3|Mef2a|Mgme1|Mpv17l|Mrpl17|Opa1|Pif1|Slc25a33|Slc25a36
GO:0000003	reproduction	biological_process	3	Chaf1b|Mmp23|Zar1
GO:0000010	trans-hexaprenyltranstransferase activity	molecular_function	2	Pdss1|Pdss2
GO:0000011	vacuole inheritance	biological_process	1	Rbsn
GO:0000012	single strand break repair	biological_process	8	Aplf|Aptx|Lig4|Sirt1|Tdp1|Tnp1|Trpc2|Xrcc1
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	7	Dclre1c|Ercc1|Ercc4|Mre11a|Rad50|Rbbp8|Setmar
GO:0000015	phosphopyruvate hydratase complex	cellular_component	5	Eno1|Eno2|Eno3|Eno4|RGD1559534
GO:0000016	lactase activity	molecular_function	1	Lct
GO:0000018	regulation of DNA recombination	biological_process	3	Alyref|Smarcad1|Thoc1
GO:0000019	regulation of mitotic recombination	biological_process	1	Rad50
GO:0000026	alpha-1,2-mannosyltransferase activity	molecular_function	1	Pigzl1
GO:0000027	ribosomal large subunit assembly	biological_process	4	Brix1|Rpf1|Rpf2|Rpl24
GO:0000028	ribosomal small subunit assembly	biological_process	16	Eral1|Pwp2|RGD1559955|RGD1560987|RGD1561635|RGD1562381|Rps10|Rps14|Rps15|Rps17|Rps19|Rps2|Rps25|Rps6|Rpsa|Rrp7a
GO:0000030	mannosyltransferase activity	molecular_function	13	Alg1|Alg12|Alg9|Dpy19l1|Dpy19l2|Dpy19l3|Dpy19l4|LOC100910849|Pigb|Pigm|Pigv|Pigzl1|Pomt2
GO:0000033	alpha-1,3-mannosyltransferase activity	molecular_function	3	Alg2|Alg3|Alg8
GO:0000038	very long-chain fatty acid metabolic process	biological_process	16	Abcd2|Acaa1a|Acaa1b|Acot2|Acot3|Acot4|Acot5|Acox1|Acsbg1|Elovl2|Hsd17b4|Pex2|Pex5|Slc27a2|Slc27a4|Slc27a5
GO:0000041	transition metal ion transport	biological_process	1	Slc11a2
