go_id	go_term	go_domain	size	genes
GO:0000023	maltose metabolic process	biological_process	2	3477944|3479664
GO:0000030	mannosyltransferase activity	molecular_function	4	3475940|3478580|3478581|3481370
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	molecular_function	4	3478350|3480190|3481068|3481069
GO:0000041	transition metal ion transport	biological_process	5	3475573|3475849|3475850|3478225|3481299
GO:0000096	sulfur amino acid metabolic process	biological_process	11	3475333|3475578|3475886|3476761|3477747|3478438|3478567|3479378|3480171|3480214|3480215
GO:0000097	sulfur amino acid biosynthetic process	biological_process	10	3475578|3475886|3476761|3477747|3478438|3478567|3479378|3480171|3480214|3480215
GO:0000098	sulfur amino acid catabolic process	biological_process	1	3475333
GO:0000103	sulfate assimilation	biological_process	4	3475463|3475464|3476558|3479874
GO:0000104	succinate dehydrogenase activity	molecular_function	4	3478174|3478175|3478176|3478177
GO:0000105	histidine biosynthetic process	biological_process	13	3475456|3475457|3475458|3477747|3478434|3480551|3480952|3480953|3480955|3480956|3481014|3481015|3481161
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	2	3480953|3480956
GO:0000154	rRNA modification	biological_process	12	3477627|3478566|3479526|3479753|3480024|3480177|3480232|3480595|3480620|3481010|3481167|3481418
GO:0000155	phosphorelay sensor kinase activity	molecular_function	80	3475356|3475471|3475551|3475553|3475611|3475710|3475790|3475957|3475982|3476075|3476224|3476226|3476255|3476337|3476338|3476358|3476461|3476499|3476566|3476592|3476918|3476943|3476966|3477143|3477158|3477219|3477236|3477322|3477365|3477369|3477769|3477810|3477866|3477868|3477871|3478084|3478106|3478108|3478213|3478305|3478418|3478532|3478568|3478570|3478588|3478593|3478609|3478685|3478734|3478819|3478827|3478907|3478911|3479058|3479162|3479188|3479213|3479246|3479286|3479298|3479330|3479406|3479461|3479516|3479601|3479669|3479818|3480016|3480084|3480195|3480479|3480610|3480689|3480794|3480870|3480894|3480969|3481219|3481253|3481276
GO:0000156	phosphorelay response regulator activity	molecular_function	116	3475356|3475381|3475472|3475551|3475552|3475553|3475554|3475611|3475710|3475711|3475712|3475789|3475958|3475981|3476075|3476077|3476225|3476226|3476254|3476334|3476335|3476338|3476358|3476462|3476565|3476593|3476919|3476944|3476966|3477078|3477083|3477136|3477143|3477158|3477220|3477228|3477237|3477254|3477322|3477323|3477324|3477325|3477364|3477365|3477369|3477408|3477415|3477601|3477604|3477770|3477811|3477866|3477867|3477868|3477871|3477872|3478085|3478092|3478106|3478107|3478108|3478109|3478213|3478305|3478417|3478532|3478569|3478570|3478589|3478594|3478601|3478610|3478684|3478735|3478819|3478820|3478828|3478911|3478913|3479058|3479129|3479214|3479247|3479263|3479287|3479299|3479306|3479330|3479331|3479407|3479460|3479515|3479622|3479701|3479818|3480015|3480073|3480085|3480151|3480195|3480198|3480199|3480374|3480478|3480484|3480608|3480690|3480780|3480793|3480869|3480893|3480968|3481253|3481264|3481279|3481289
GO:0000160	phosphorelay signal transduction system	biological_process	165	3475356|3475381|3475471|3475472|3475551|3475552|3475553|3475554|3475611|3475710|3475711|3475712|3475789|3475790|3475957|3475958|3475981|3475982|3476075|3476077|3476224|3476225|3476226|3476254|3476255|3476334|3476335|3476337|3476338|3476358|3476461|3476462|3476499|3476565|3476566|3476592|3476593|3476918|3476919|3476943|3476944|3476966|3477078|3477083|3477136|3477143|3477158|3477219|3477220|3477228|3477236|3477237|3477254|3477322|3477323|3477324|3477325|3477364|3477365|3477369|3477408|3477415|3477601|3477604|3477769|3477770|3477810|3477811|3477866|3477867|3477868|3477871|3477872|3478084|3478085|3478092|3478106|3478107|3478108|3478109|3478213|3478305|3478417|3478418|3478532|3478568|3478569|3478570|3478588|3478589|3478593|3478594|3478601|3478609|3478610|3478684|3478685|3478734|3478735|3478754|3478819|3478820|3478827|3478828|3478907|3478911|3478913|3479058|3479063|3479129|3479162|3479188|3479213|3479214|3479246|3479247|3479263|3479286|3479287|3479298|3479306|3479330|3479331|3479406|3479407|3479460|3479461|3479515|3479516|3479601|3479622|3479669|3479701|3479818|3480015|3480016|3480073|3480084|3480085|3480151|3480195|3480198|3480199|3480374|3480478|3480479|3480484|3480608|3480610|3480690|3480780|3480793|3480794|3480869|3480870|3480893|3480894|3480968|3480969|3481219|3481253|3481264|3481276|3481279|3481289
GO:0000162	tryptophan biosynthetic process	biological_process	7	3479996|3479997|3479998|3480004|3480636|3480637|3480638
GO:0000166	nucleotide binding	molecular_function	73	3475449|3475528|3475529|3475569|3475571|3475624|3475642|3476023|3476383|3476392|3476537|3476678|3476793|3476797|3476799|3476800|3476841|3476927|3477039|3477318|3477483|3477528|3477624|3477640|3477693|3477727|3477744|3477936|3478039|3478043|3478053|3478074|3478082|3478121|3478189|3478264|3478285|3478402|3478713|3479097|3479299|3479361|3479467|3479525|3479633|3479667|3479670|3479742|3479748|3479768|3479994|3480180|3480209|3480228|3480257|3480296|3480412|3480601|3480682|3480799|3480871|3480930|3480979|3481027|3481072|3481092|3481124|3481148|3481234|3481389|3481408|3481409|3481410
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	1	3480024
GO:0000210	NAD+ diphosphatase activity	molecular_function	1	3477808
GO:0000255	allantoin metabolic process	biological_process	3	3476271|3478491|3478492
GO:0000256	allantoin catabolic process	biological_process	3	3476271|3478491|3478492
GO:0000257	nitrilase activity	molecular_function	1	3477902
GO:0000270	peptidoglycan metabolic process	biological_process	40	3475455|3476188|3476310|3477202|3477552|3477568|3477583|3477629|3477748|3477778|3478409|3479469|3479470|3479471|3479472|3479473|3479474|3479475|3479476|3479477|3479560|3479595|3479654|3479835|3479836|3479840|3479842|3479844|3479859|3479984|3480225|3480407|3480546|3480582|3480584|3480687|3481035|3481154|3481421|3481433
GO:0000271	polysaccharide biosynthetic process	biological_process	63	3475405|3475406|3475407|3475408|3475409|3475410|3475628|3475801|3475943|3476049|3476051|3476052|3476053|3476055|3476056|3476060|3476671|3476673|3476676|3476947|3476948|3476949|3476950|3476952|3476953|3477448|3477508|3477509|3477510|3477511|3477512|3477513|3477945|3477958|3478202|3478429|3478430|3478616|3479502|3479503|3479504|3479508|3479510|3479511|3479875|3479879|3479881|3479882|3479922|3480252|3480424|3480584|3480895|3480896|3480897|3480898|3481104|3481106|3481110|3481114|3481117|3481121|3481421
GO:0000272	polysaccharide catabolic process	biological_process	2	3477953|3477956
GO:0000287	magnesium ion binding	molecular_function	4	3475512|3477808|3479223|3479870
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular_function	1	3479847
GO:0000310	xanthine phosphoribosyltransferase activity	molecular_function	1	3480403
GO:0000345	cytosolic DNA-directed RNA polymerase complex	cellular_component	4	3479946|3479975|3479976|3480432
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	biological_process	1	3480220
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	4	3479946|3479975|3479976|3480432
GO:0000502	proteasome complex	cellular_component	2	3481027|3481028
GO:0000702	oxidized base lesion DNA N-glycosylase activity	molecular_function	1	3480242
GO:0000721	(R,R)-butanediol dehydrogenase activity	molecular_function	2	3476141|3477246
GO:0000774	adenyl-nucleotide exchange factor activity	molecular_function	1	3481409
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	1	3479907
GO:0000908	taurine dioxygenase activity	molecular_function	1	3480862
GO:0000910	cytokinesis	biological_process	11	3476829|3477258|3478504|3479466|3479467|3479468|3479478|3480227|3480228|3480593|3480594
GO:0000917	barrier septum assembly	biological_process	5	3475486|3477561|3477580|3477641|3479468
GO:0000918	barrier septum site selection	biological_process	3	3478502|3478503|3478504
GO:0000988	protein binding transcription factor activity	molecular_function	30	3475665|3475796|3475797|3475798|3475849|3476381|3476699|3476719|3476723|3476839|3476928|3477195|3477443|3477600|3477705|3477706|3477796|3478677|3478740|3478939|3479772|3480038|3480076|3480092|3480226|3480368|3480721|3480739|3480767|3481458
GO:0000989	transcription factor binding transcription factor activity	molecular_function	3	3475797|3475798|3477706
GO:0000990	core RNA polymerase binding transcription factor activity	molecular_function	27	3475665|3475796|3475849|3476381|3476699|3476719|3476723|3476839|3476928|3477195|3477443|3477600|3477705|3477796|3478677|3478740|3478939|3479772|3480038|3480076|3480092|3480226|3480368|3480721|3480739|3480767|3481458
GO:0000996	core DNA-dependent RNA polymerase binding promoter specificity activity	molecular_function	27	3475665|3475796|3475849|3476381|3476699|3476719|3476723|3476839|3476928|3477195|3477443|3477600|3477705|3477796|3478677|3478740|3478939|3479772|3480038|3480076|3480092|3480226|3480368|3480721|3480739|3480767|3481458
