go_id	go_term	go_domain	size	genes
GO:0000001	mitochondrion inheritance	biological_process	29	ABF2|ACT1|ADY3|ARC15|ARC18|ARC19|ARC35|ARP2|ARP3|BUL1|DNM1|GEM1|MDM1|MDM12|MDM20|MDM31|MDM32|MDM36|MMR1|MYO2|NAT3|NUM1|OLE1|PHB1|PHB2|PTC1|TPM1|TPM2|YPT11
GO:0000002	mitochondrial genome maintenance	biological_process	39	ABF2|ACO1|CCE1|CCM1|DML1|EXO5|GEP5|GGC1|HMI1|HSP78|ILM1|ILV5|KGD2|MDJ1|MDM10|MDM12|MDM34|MDV1|MEF2|MGM1|MGM101|MHR1|MMM1|MSH1|OXA1|PIF1|REX2|RIM1|RIM2|RPO41|RRG1|RRG8|RRG9|RRM3|SED1|THI4|TIM17|YHM2|YME2
GO:0000003	reproduction	biological_process	49	ASG7|ATC1|AXL1|AXL2|BUD2|BUD3|BUD4|BUD5|BUD6|CCW12|CDC42|CHS5|CMD1|END3|ERV14|ERV15|FPS1|FUS2|GLC7|KEL2|LSG1|MF(ALPHA)1|MF(ALPHA)2|MYO3|MYO5|PAN1|PEA2|PEF1|PRM7|RSR1|RVS161|RXT2|SCW10|SCW4|SEC4|SLA2|SPA2|SPH1|SPT7|SSF1|SSF2|STE12|STE20|TAO3|TGL3|TGL4|UBA4|URM1|VRP1
GO:0000006	high-affinity zinc uptake transmembrane transporter activity	molecular_function	1	ZRT1
GO:0000007	low-affinity zinc ion transmembrane transporter activity	molecular_function	1	ZRT2
GO:0000009	alpha-1,6-mannosyltransferase activity	molecular_function	9	ALG12|ALG2|ANP1|HOC1|MNN10|MNN11|MNN9|OCH1|VAN1
GO:0000010	trans-hexaprenyltranstransferase activity	molecular_function	1	COQ1
GO:0000011	vacuole inheritance	biological_process	18	ACT1|CLA4|MYO2|PEP12|PEP7|STE20|TPM1|TPM2|TRX1|TRX2|VAC17|VAC8|VPS15|VPS21|VPS3|VPS45|VPS9|YPT7
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	7	DNA2|RAD1|RAD10|RAD2|SAE2|TRM2|YEN1
GO:0000015	phosphopyruvate hydratase complex	cellular_component	5	ENO1|ENO2|ERR1|ERR2|ERR3
GO:0000017	alpha-glucoside transport	biological_process	1	MAL31
GO:0000018	regulation of DNA recombination	biological_process	27	CDC28|CDC73|CSM4|ELG1|HED1|HHO1|HST1|HST2|MMS4|MPH1|MSH2|MSH6|NDJ1|PAF1|PAP2|RAD3|RPD3|SET2|SGS1|SIR2|SPO16|SRS2|SSL2|SWI6|TOP1|TOP2|TOP3
GO:0000019	regulation of mitotic recombination	biological_process	7	HED1|HST1|HST2|RAD3|SSL2|TOP1|TOP2
GO:0000022	mitotic spindle elongation	biological_process	11	ASE1|BIK1|BIR1|CBF2|CIN8|KIP1|SHE1|SPC72|TVP38|UBC9|YHR127W
GO:0000023	maltose metabolic process	biological_process	13	IMA1|IMA2|IMA3|IMA4|IMA5|MAL11|MAL12|MAL13|MAL31|MAL32|MAL33|MPH2|MPH3
GO:0000025	maltose catabolic process	biological_process	2	MAL12|MAL32
GO:0000026	alpha-1,2-mannosyltransferase activity	molecular_function	6	ALG11|ALG9|KRE2|KTR1|MNN2|MNN5
