go_id	go_name	go_domain	tax_id	annotation_type	size	gene_ids	gene_symbols
GO:0000003	reproduction	biological_process	9823	inferred	3	396891|397676|100048934	RLN2|ZAN|WEE2
GO:0000165	MAPK cascade	biological_process	9823	inferred	2	396764|397208	SLC11A1|CSF2
GO:0000166	nucleotide binding	molecular_function	9823	inferred	3	397085|397109|397481	MYO6|DPYD|ATP1A1
GO:0000187	activation of MAPK activity	biological_process	9823	inferred	1	445525	PLA2G1B
GO:0000228	nuclear chromosome	cellular_component	9823	inferred	2	397130|445521	HMGB2|HMGB1
GO:0000253	3-keto sterol reductase activity	molecular_function	9823	inferred	1	397082	DHRS4
GO:0000280	nuclear division	biological_process	9823	inferred	1	100048934	WEE2
GO:0000302	response to reactive oxygen species	biological_process	9823	inferred	1	397196	DPEP1
GO:0000323	lytic vacuole	cellular_component	9823	inferred	1	100518636	GJA1
GO:0000785	chromatin	cellular_component	9823	inferred	2	397130|445521	HMGB2|HMGB1
GO:0000790	nuclear chromatin	cellular_component	9823	inferred	2	397130|445521	HMGB2|HMGB1
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	molecular_function	9823	inferred	1	396840	SOX9
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	molecular_function	9823	inferred	1	396840	SOX9
GO:0000988	transcription factor activity, protein binding	molecular_function	9823	inferred	1	397671	PPARG
GO:0000989	transcription factor activity, transcription factor binding	molecular_function	9823	inferred	1	397671	PPARG
GO:0001071	nucleic acid binding transcription factor activity	molecular_function	9823	inferred	1	396840	SOX9
GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	molecular_function	9823	inferred	1	396840	SOX9
GO:0001101	response to acid chemical	biological_process	9823	inferred	1	397671	PPARG
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	molecular_function	9823	inferred	1	396840	SOX9
GO:0001516	prostaglandin biosynthetic process	biological_process	9823	inferred	2	100127469|100134955	BDKRB2|FAM213B
GO:0001556	oocyte maturation	biological_process	9823	inferred	1	396891	RLN2
GO:0001616	growth hormone secretagogue receptor activity	molecular_function	9823	inferred	1	397372	GHSR
GO:0001653	peptide receptor activity	molecular_function	9823	inferred	1	397638	CALCR
GO:0001664	G-protein coupled receptor binding	molecular_function	9823	inferred	2	399501|445018	ADRA2A|PYY
GO:0001666	response to hypoxia	biological_process	9823	inferred	1	396965	PRL
GO:0001674	female germ cell nucleus	cellular_component	9823	inferred	2	397493|397652	PRKAR2A|PRKACA
GO:0001676	long-chain fatty acid metabolic process	biological_process	9823	inferred	2	396971|100127469	ALOX15|BDKRB2
GO:0001701	in utero embryonic development	biological_process	9823	inferred	1	396891	RLN2
GO:0001730	2'-5'-oligoadenylate synthetase activity	molecular_function	9823	inferred	1	397570	OAS1
GO:0001807	regulation of type IV hypersensitivity	biological_process	9823	inferred	1	396927	ZP3
GO:0001809	positive regulation of type IV hypersensitivity	biological_process	9823	inferred	1	396927	ZP3
GO:0001816	cytokine production	biological_process	9823	inferred	3	397057|397208|445525	IL18|CSF2|PLA2G1B
GO:0001817	regulation of cytokine production	biological_process	9823	inferred	1	396965	PRL
GO:0001819	positive regulation of cytokine production	biological_process	9823	inferred	1	396965	PRL
GO:0001824	blastocyst development	biological_process	9823	inferred	1	396891	RLN2
GO:0001832	blastocyst growth	biological_process	9823	inferred	1	396891	RLN2
GO:0001882	nucleoside binding	molecular_function	9823	inferred	2	397085|397481	MYO6|ATP1A1
GO:0001883	purine nucleoside binding	molecular_function	9823	inferred	2	397085|397481	MYO6|ATP1A1
GO:0001932	regulation of protein phosphorylation	biological_process	9823	inferred	8	396851|396884|397225|397415|397488|397493|397595|445525	PIK3R5|GH1|IL4|INS|GHR|PRKAR2A|GCG|PLA2G1B
GO:0001933	negative regulation of protein phosphorylation	biological_process	9823	inferred	1	397493	PRKAR2A
GO:0001934	positive regulation of protein phosphorylation	biological_process	9823	inferred	7	396851|396884|397225|397415|397488|397595|445525	PIK3R5|GH1|IL4|INS|GHR|GCG|PLA2G1B
GO:0001936	regulation of endothelial cell proliferation	biological_process	9823	inferred	1	396965	PRL
GO:0001938	positive regulation of endothelial cell proliferation	biological_process	9823	inferred	1	396965	PRL
GO:0002218	activation of innate immune response	biological_process	9823	inferred	1	445521	HMGB1
GO:0002221	pattern recognition receptor signaling pathway	biological_process	9823	inferred	1	445521	HMGB1
GO:0002224	toll-like receptor signaling pathway	biological_process	9823	inferred	1	445521	HMGB1
GO:0002237	response to molecule of bacterial origin	biological_process	9823	inferred	2	396764|396913	SLC11A1|JUN
GO:0002252	immune effector process	biological_process	9823	inferred	3	397128|397570|445525	MX1|OAS1|PLA2G1B
GO:0002253	activation of immune response	biological_process	9823	inferred	1	445521	HMGB1
GO:0002376	immune system process	biological_process	9823	inferred	9	396913|397072|397084|397128|397347|397570|403324|445521|445525	JUN|C3|TGFB2|MX1|CD59|OAS1|CYP3A29|HMGB1|PLA2G1B
GO:0002443	leukocyte mediated immunity	biological_process	9823	inferred	1	445525	PLA2G1B
GO:0002444	myeloid leukocyte mediated immunity	biological_process	9823	inferred	1	445525	PLA2G1B
GO:0002446	neutrophil mediated immunity	biological_process	9823	inferred	1	445525	PLA2G1B
GO:0002526	acute inflammatory response	biological_process	9823	inferred	1	396799	ITIH4
GO:0002673	regulation of acute inflammatory response	biological_process	9823	inferred	2	396922|396927	CD46|ZP3
GO:0002675	positive regulation of acute inflammatory response	biological_process	9823	inferred	1	396927	ZP3
GO:0002682	regulation of immune system process	biological_process	9823	inferred	5	396922|396927|397084|445521|445525	CD46|ZP3|TGFB2|HMGB1|PLA2G1B
GO:0002683	negative regulation of immune system process	biological_process	9823	inferred	1	396922	CD46
GO:0002684	positive regulation of immune system process	biological_process	9823	inferred	4	396927|397084|445521|445525	ZP3|TGFB2|HMGB1|PLA2G1B
GO:0002697	regulation of immune effector process	biological_process	9823	inferred	2	396922|396927	CD46|ZP3
GO:0002698	negative regulation of immune effector process	biological_process	9823	inferred	1	396922	CD46
GO:0002699	positive regulation of immune effector process	biological_process	9823	inferred	1	396927	ZP3
GO:0002703	regulation of leukocyte mediated immunity	biological_process	9823	inferred	2	396922|396927	CD46|ZP3
GO:0002704	negative regulation of leukocyte mediated immunity	biological_process	9823	inferred	1	396922	CD46
GO:0002705	positive regulation of leukocyte mediated immunity	biological_process	9823	inferred	1	396927	ZP3
GO:0002706	regulation of lymphocyte mediated immunity	biological_process	9823	inferred	2	396922|396927	CD46|ZP3
GO:0002707	negative regulation of lymphocyte mediated immunity	biological_process	9823	inferred	1	396922	CD46
GO:0002708	positive regulation of lymphocyte mediated immunity	biological_process	9823	inferred	1	396927	ZP3
GO:0002709	regulation of T cell mediated immunity	biological_process	9823	inferred	1	396927	ZP3
GO:0002711	positive regulation of T cell mediated immunity	biological_process	9823	inferred	1	396927	ZP3
GO:0002712	regulation of B cell mediated immunity	biological_process	9823	inferred	1	396922	CD46
GO:0002713	negative regulation of B cell mediated immunity	biological_process	9823	inferred	1	396922	CD46
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	biological_process	9823	inferred	1	445521	HMGB1
GO:0002757	immune response-activating signal transduction	biological_process	9823	inferred	1	445521	HMGB1
GO:0002758	innate immune response-activating signal transduction	biological_process	9823	inferred	1	445521	HMGB1
GO:0002764	immune response-regulating signaling pathway	biological_process	9823	inferred	1	445521	HMGB1
GO:0002791	regulation of peptide secretion	biological_process	9823	inferred	3	397304|397465|497059	NPY|GAL|SSTR2
GO:0002792	negative regulation of peptide secretion	biological_process	9823	inferred	3	397304|397465|497059	NPY|GAL|SSTR2
GO:0002793	positive regulation of peptide secretion	biological_process	9823	inferred	2	397304|397465	NPY|GAL
GO:0002819	regulation of adaptive immune response	biological_process	9823	inferred	2	396922|396927	CD46|ZP3
GO:0002820	negative regulation of adaptive immune response	biological_process	9823	inferred	1	396922	CD46
GO:0002821	positive regulation of adaptive immune response	biological_process	9823	inferred	1	396927	ZP3
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	biological_process	9823	inferred	2	396922|396927	CD46|ZP3
GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	biological_process	9823	inferred	1	396922	CD46
GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	biological_process	9823	inferred	1	396927	ZP3
GO:0002861	regulation of inflammatory response to antigenic stimulus	biological_process	9823	inferred	1	396927	ZP3
GO:0002863	positive regulation of inflammatory response to antigenic stimulus	biological_process	9823	inferred	1	396927	ZP3
GO:0002864	regulation of acute inflammatory response to antigenic stimulus	biological_process	9823	inferred	1	396927	ZP3
GO:0002866	positive regulation of acute inflammatory response to antigenic stimulus	biological_process	9823	inferred	1	396927	ZP3
GO:0002883	regulation of hypersensitivity	biological_process	9823	inferred	1	396927	ZP3
GO:0002885	positive regulation of hypersensitivity	biological_process	9823	inferred	1	396927	ZP3
GO:0002889	regulation of immunoglobulin mediated immune response	biological_process	9823	inferred	1	396922	CD46
GO:0002890	negative regulation of immunoglobulin mediated immune response	biological_process	9823	inferred	1	396922	CD46
GO:0002920	regulation of humoral immune response	biological_process	9823	inferred	1	396922	CD46
GO:0002921	negative regulation of humoral immune response	biological_process	9823	inferred	1	396922	CD46
GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin	biological_process	9823	inferred	1	396922	CD46
GO:0002924	negative regulation of humoral immune response mediated by circulating immunoglobulin	biological_process	9823	inferred	1	396922	CD46
GO:0002931	response to ischemia	biological_process	9823	inferred	1	100518636	GJA1
GO:0003006	developmental process involved in reproduction	biological_process	9823	inferred	1	396891	RLN2
GO:0003008	system process	biological_process	9823	inferred	4	396863|397277|397434|100127469	POMC|B2R|KCNMA1|BDKRB2
GO:0003012	muscle system process	biological_process	9823	inferred	3	397277|397434|100127469	B2R|KCNMA1|BDKRB2
GO:0003013	circulatory system process	biological_process	9823	inferred	1	397434	KCNMA1
GO:0003014	renal system process	biological_process	9823	inferred	1	100127469	BDKRB2
GO:0003018	vascular process in circulatory system	biological_process	9823	inferred	1	397434	KCNMA1
GO:0003674	molecular_function	molecular_function	9823	inferred	70	396688|396712|396724|396766|396807|396840|396851|396863|396875|396898|396913|396922|396933|396940|396942|396959|396960|396971|396978|397018|397057|397078|397082|397085|397096|397098|397109|397128|397130|397132|397134|397141|397189|397196|397244|397317|397343|397372|397415|397419|397434|397436|397481|397488|397493|397500|397517|397570|397638|397652|397671|397676|399501|403124|406192|414283|414412|445018|445521|445525|445537|494014|497059|733686|780433|100048954|100134955|100155163|100301483|100524676	COASY|LHX3|OLR1|CELA1|MYL6|SOX9|PIK3R5|POMC|ATP2A2|ATP1B1|JUN|CD46|FUT8|AMELX|ANXA1|ANKRD1|ALB|ALOX15|OXCT1|SCARB1|IL18|TGFB1|DHRS4|MYO6|ENG|ACR|DPYD|MX1|HMGB2|FMO1|DAO|NPL|MIOX|DPEP1|CASP3|ACRBP|ADAM17|GHSR|INS|TTR|KCNMA1|CASQ2|ATP1A1|GHR|PRKAR2A|ABAT|FTCD|OAS1|CALCR|PRKACA|PPARG|ZAN|ADRA2A|IYD|ANXA2|ADCYAP1|SDHB|PYY|HMGB1|PLA2G1B|ST3GAL1|PRNP|SSTR2|TUBB|LOC780433|SDHD|FAM213B|LOC100155163|S100A12|SDHC
GO:0003676	nucleic acid binding	molecular_function	9823	inferred	5	396712|396913|397130|397671|445521	LHX3|JUN|HMGB2|PPARG|HMGB1
GO:0003677	DNA binding	molecular_function	9823	inferred	5	396712|396913|397130|397671|445521	LHX3|JUN|HMGB2|PPARG|HMGB1
GO:0003690	double-stranded DNA binding	molecular_function	9823	inferred	1	397130	HMGB2
GO:0003697	single-stranded DNA binding	molecular_function	9823	inferred	1	397130	HMGB2
GO:0003700	transcription factor activity, sequence-specific DNA binding	molecular_function	9823	inferred	1	396840	SOX9
GO:0003712	transcription cofactor activity	molecular_function	9823	inferred	1	397671	PPARG
GO:0003713	transcription coactivator activity	molecular_function	9823	inferred	1	397671	PPARG
GO:0003774	motor activity	molecular_function	9823	inferred	1	397085	MYO6
GO:0003779	actin binding	molecular_function	9823	inferred	2	396959|397085	ANKRD1|MYO6
GO:0003824	catalytic activity	molecular_function	9823	inferred	26	396688|396807|396898|396922|396933|396971|396978|397082|397085|397098|397109|397128|397132|397134|397141|397189|397343|397481|397500|397517|397570|397652|403124|445525|445537|100134955	COASY|MYL6|ATP1B1|CD46|FUT8|ALOX15|OXCT1|DHRS4|MYO6|ACR|DPYD|MX1|FMO1|DAO|NPL|MIOX|ADAM17|ATP1A1|ABAT|FTCD|OAS1|PRKACA|IYD|PLA2G1B|ST3GAL1|FAM213B
GO:0003836	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity	molecular_function	9823	inferred	1	445537	ST3GAL1
GO:0003867	4-aminobutyrate transaminase activity	molecular_function	9823	inferred	1	397500	ABAT
GO:0003884	D-amino-acid oxidase activity	molecular_function	9823	inferred	1	397134	DAO
GO:0003924	GTPase activity	molecular_function	9823	inferred	1	397128	MX1
GO:0004040	amidase activity	molecular_function	9823	inferred	1	397098	ACR
GO:0004052	arachidonate 12-lipoxygenase activity	molecular_function	9823	inferred	1	396971	ALOX15
GO:0004140	dephospho-CoA kinase activity	molecular_function	9823	inferred	1	396688	COASY
GO:0004175	endopeptidase activity	molecular_function	9823	inferred	2	396922|397343	CD46|ADAM17
GO:0004222	metalloendopeptidase activity	molecular_function	9823	inferred	1	397343	ADAM17
GO:0004447	iodide peroxidase activity	molecular_function	9823	inferred	1	403124	IYD
GO:0004497	monooxygenase activity	molecular_function	9823	inferred	1	397132	FMO1
GO:0004499	N,N-dimethylaniline monooxygenase activity	molecular_function	9823	inferred	1	397132	FMO1
GO:0004595	pantetheine-phosphate adenylyltransferase activity	molecular_function	9823	inferred	1	396688	COASY
GO:0004601	peroxidase activity	molecular_function	9823	inferred	1	403124	IYD
GO:0004620	phospholipase activity	molecular_function	9823	inferred	1	445525	PLA2G1B
GO:0004623	phospholipase A2 activity	molecular_function	9823	inferred	1	445525	PLA2G1B
GO:0004672	protein kinase activity	molecular_function	9823	inferred	1	397652	PRKACA
GO:0004674	protein serine/threonine kinase activity	molecular_function	9823	inferred	1	397652	PRKACA
GO:0004690	cyclic nucleotide-dependent protein kinase activity	molecular_function	9823	inferred	1	397652	PRKACA
GO:0004691	cAMP-dependent protein kinase activity	molecular_function	9823	inferred	1	397652	PRKACA
GO:0004871	signal transducer activity	molecular_function	9823	inferred	3	397372|397638|399501	GHSR|CALCR|ADRA2A
GO:0004872	receptor activity	molecular_function	9823	inferred	4	397018|397372|397638|399501	SCARB1|GHSR|CALCR|ADRA2A
GO:0004888	transmembrane signaling receptor activity	molecular_function	9823	inferred	3	397372|397638|399501	GHSR|CALCR|ADRA2A
GO:0004930	G-protein coupled receptor activity	molecular_function	9823	inferred	3	397372|397638|399501	GHSR|CALCR|ADRA2A
GO:0004935	adrenergic receptor activity	molecular_function	9823	inferred	1	399501	ADRA2A
GO:0004936	alpha-adrenergic receptor activity	molecular_function	9823	inferred	1	399501	ADRA2A
GO:0004938	alpha2-adrenergic receptor activity	molecular_function	9823	inferred	1	399501	ADRA2A
