go_id	go_term	go_domain	size	genes
GO:0000002	mitochondrial genome maintenance	biological_process	1	100037273
GO:0000003	reproduction	biological_process	2	733648;100513764
GO:0000012	single strand break repair	biological_process	1	100513764
GO:0000015	phosphopyruvate hydratase complex	cellular_component	1	692156
GO:0000018	regulation of DNA recombination	biological_process	5	396868;396991;397078;397225;397395
GO:0000028	ribosomal small subunit assembly	biological_process	2	397607;641351
GO:0000030	mannosyltransferase activity	molecular_function	1	100124379
GO:0000041	transition metal ion transport	biological_process	13	396845;396846;396873;396927;396996;397030;397062;397123;397186;397649;100049699;100153993;100156799
GO:0000042	protein targeting to Golgi	biological_process	1	397011
GO:0000045	autophagic vacuole assembly	biological_process	1	595116
GO:0000050	urea cycle	biological_process	2	397115;397438
GO:0000054	ribosomal subunit export from nucleus	biological_process	1	397607
GO:0000056	ribosomal small subunit export from nucleus	biological_process	1	397607
GO:0000060	protein import into nucleus, translocation	biological_process	7	396991;397078;397086;397123;397216;397276;406188
GO:0000062	fatty-acyl-CoA binding	molecular_function	1	397212
GO:0000075	cell cycle checkpoint	biological_process	9	396917;396955;397078;397266;397536;100037949;100101922;100499502;100514624
GO:0000077	DNA damage checkpoint	biological_process	3	100037949;100101922;100514624
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	2	397162;100048934
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	2	397093;100144492
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	4	397266;397361;397362;100144474
GO:0000096	sulfur amino acid metabolic process	biological_process	3	397196;397371;733654
GO:0000097	sulfur amino acid biosynthetic process	biological_process	2	397371;733654
GO:0000104	succinate dehydrogenase activity	molecular_function	3	414412;780433;100524676
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological_process	31	396628;396629;396692;396717;396726;396766;396832;396955;397086;397157;397199;397276;397280;397581;397661;397671;397680;399502;404693;414911;445521;494020;654298;733590;733688;100037273;100127461;100294706;100381266;100517321;100622956
GO:0000123	histone acetyltransferase complex	cellular_component	2	414396;664652
GO:0000132	establishment of mitotic spindle orientation	biological_process	1	397482
GO:0000137	Golgi cis cisterna	cellular_component	1	733610
GO:0000138	Golgi trans cisterna	cellular_component	1	733610
GO:0000139	Golgi membrane	cellular_component	32	396666;396733;396929;396933;396949;396994;397020;397138;397139;397263;397308;397599;397634;404693;414851;445537;494015;494017;595112;595114;595120;641358;733610;733680;780410;100037303;100125375;100134987;100151745;100151809;100270821;100739349
GO:0000146	microfilament motor activity	molecular_function	2	396807;396860
GO:0000151	ubiquitin ligase complex	cellular_component	2	397379;100136900
GO:0000152	nuclear ubiquitin ligase complex	cellular_component	1	397379
GO:0000155	phosphorelay sensor kinase activity	molecular_function	1	100126293
GO:0000159	protein phosphatase type 2A complex	cellular_component	3	397088;397089;397090
GO:0000160	phosphorelay signal transduction system	biological_process	1	100126293
GO:0000165	MAPK cascade	biological_process	14	396764;396837;396840;396969;397057;397078;397086;397123;397422;404693;448810;733590;100037273;100127484
GO:0000166	nucleotide binding	molecular_function	160	396584;396648;396665;396673;396681;396688;396723;396759;396810;396820;396823;396828;396848;396860;396875;396906;396914;396917;396931;396932;396944;396955;396979;396983;397010;397013;397026;397028;397038;397043;397073;397085;397091;397097;397104;397109;397114;397128;397129;397132;397134;397148;397149;397191;397193;397201;397256;397263;397264;397276;397298;397350;397351;397373;397461;397481;397493;397494;397504;397511;397524;397538;397546;397552;397557;397559;397570;397577;397596;397601;397603;397604;397618;397636;397651;397652;397659;397674;399539;399540;403154;406235;407060;407608;414396;414426;431672;445530;445531;448813;448845;494017;494561;503700;574063;595112;595114;595115;595116;595117;606749;654327;654328;654405;733588;733594;733601;733653;733658;733683;733686;768109;768117;780405;780418;780425;780428;780433;791125;100037302;100048934;100048942;100048943;100049657;100101922;100101926;100124378;100125538;100125540;100127484;100144306;100144418;100144446;100144452;100144456;100144457;100144481;100144491;100144492;100144496;100144498;100144499;100144502;100144507;100144518;100144529;100145903;100152301;100154254;100154317;100157880;100158147;100170114;100217389;100240720;100337674;100514624;100520446;100521423;100739349
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process	1	100101926
GO:0000185	activation of MAPKKK activity	biological_process	1	397086
GO:0000186	activation of MAPKK activity	biological_process	2	397252;100127484
GO:0000187	activation of MAPK activity	biological_process	9	396728;396810;397036;397086;397484;399501;445525;100127484;100145903
GO:0000188	inactivation of MAPK activity	biological_process	1	404693
GO:0000209	protein polyubiquitination	biological_process	2	396629;780418
GO:0000212	meiotic spindle organization	biological_process	1	100127484
GO:0000217	DNA secondary structure binding	molecular_function	1	397680
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	1	397472
GO:0000226	microtubule cytoskeleton organization	biological_process	10	396584;396823;397374;397482;445530;494463;574063;733594;733686;100127484
GO:0000228	nuclear chromosome	cellular_component	1	396917
GO:0000245	spliceosomal complex assembly	biological_process	1	448813
GO:0000253	3-keto sterol reductase activity	molecular_function	1	397082
GO:0000254	C-4 methylsterol oxidase activity	molecular_function	1	396590
GO:0000270	peptidoglycan metabolic process	biological_process	1	396557
GO:0000271	polysaccharide biosynthetic process	biological_process	1	397104
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular_component	2	396950;808505
GO:0000280	nuclear division	biological_process	14	397015;397266;397361;397362;397379;397482;574063;595110;733671;100048934;100144474;100145887;100499502;100514624
GO:0000287	magnesium ion binding	molecular_function	14	396917;397351;397425;397494;397552;397603;397618;414425;641350;692156;100048934;100048942;100048943;100514624
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological_process	1	396689
