go_id	go_term	go_domain	size	genes
GO:0000002	mitochondrial genome maintenance	biological_process	4	407231|505763|506988|533794
GO:0000003	reproduction	biological_process	4	281537|504468|508541|517409
GO:0000012	single strand break repair	biological_process	2	281537|507989
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	2	512977|615637
GO:0000015	phosphopyruvate hydratase complex	cellular_component	2	281141|540303
GO:0000018	regulation of DNA recombination	biological_process	15	280822|280824|281237|282089|505721|509625|512207|514749|529922|530506|533115|533245|537706|540398|615510
GO:0000027	ribosomal large subunit assembly	biological_process	2	282048|518501
GO:0000028	ribosomal small subunit assembly	biological_process	5	281898|514569|516063|523344|788861
GO:0000030	mannosyltransferase activity	molecular_function	3	509745|534097|538731
GO:0000033	alpha-1,3-mannosyltransferase activity	molecular_function	1	538731
GO:0000035	acyl binding	molecular_function	1	281794
GO:0000038	very long-chain fatty acid metabolic process	biological_process	8	514832|515577|613886|614096|614105|617293|618814|100125237
GO:0000041	transition metal ion transport	biological_process	27	280705|280846|280964|281173|281518|282102|282482|286861|327663|505294|510951|511375|512803|515437|516087|518111|527210|528265|530352|532723|539838|613320|613851|613998|614946|615681|100125923
GO:0000042	protein targeting to Golgi	biological_process	1	614236
GO:0000045	autophagic vacuole assembly	biological_process	13	282705|327715|338472|408001|507340|508571|513049|514547|526612|527278|532686|540482|767903
GO:0000046	autophagic vacuole fusion	biological_process	3	507309|532261|534304
GO:0000049	tRNA binding	molecular_function	10	281581|506768|511197|512531|514867|522824|540872|614194|616544|781788
GO:0000050	urea cycle	biological_process	5	280726|280887|512771|513608|518752
GO:0000052	citrulline metabolic process	biological_process	3	280726|537391|540386
GO:0000053	argininosuccinate metabolic process	biological_process	1	280726
GO:0000054	ribosomal subunit export from nucleus	biological_process	4	286811|507675|509871|514569
GO:0000055	ribosomal large subunit export from nucleus	biological_process	2	507675|509871
GO:0000056	ribosomal small subunit export from nucleus	biological_process	1	514569
GO:0000060	protein import into nucleus, translocation	biological_process	6	280943|281237|281542|282089|353245|613320
GO:0000062	fatty-acyl-CoA binding	molecular_function	7	327692|353112|353160|508284|515848|618245|768330
GO:0000070	mitotic sister chromatid segregation	biological_process	2	538238|539594
GO:0000075	cell cycle checkpoint	biological_process	33	281061|281542|282048|282089|282370|282419|282420|327679|360192|414925|504517|504796|506176|512977|513642|514564|515158|519513|522810|524530|527124|529615|533115|533842|533993|534811|534964|538238|539594|540969|613474|614152|616597
GO:0000076	DNA replication checkpoint	biological_process	2	506176|540969
GO:0000077	DNA damage checkpoint	biological_process	14	281061|281542|504517|504796|506176|512977|513642|519513|524530|533115|534964|538238|614152|616597
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	21	281402|281667|281668|281945|327679|407194|507473|509717|510244|512466|524530|527124|528453|530393|538238|539431|539696|541250|614679|615414|615512
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	16	281751|281867|281876|286852|404181|407168|509613|510244|511224|512977|519217|524530|525416|531886|538436|781044
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	biological_process	2	504523|514085
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	9	281142|282658|414925|507731|507905|519874|527124|538238|540206
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	molecular_function	1	614713
GO:0000096	sulfur amino acid metabolic process	biological_process	15	280869|281998|497025|497032|507991|508158|508345|514462|514598|514685|525563|525659|534734|539159|615764
GO:0000097	sulfur amino acid biosynthetic process	biological_process	9	280869|281998|497025|507991|508345|525563|534734|539159|615764
GO:0000098	sulfur amino acid catabolic process	biological_process	1	514598
GO:0000099	sulfur amino acid transmembrane transporter activity	molecular_function	4	282353|326577|513110|613527
GO:0000101	sulfur amino acid transport	biological_process	4	282353|326577|513110|613527
GO:0000103	sulfate assimilation	biological_process	1	281557
GO:0000104	succinate dehydrogenase activity	molecular_function	4	281480|281481|286840|327696
GO:0000109	nucleotide-excision repair complex	cellular_component	4	508601|518857|530189|615637
GO:0000118	histone deacetylase complex	cellular_component	7	327693|404126|506646|514432|537402|615952|767940
GO:0000120	RNA polymerase I transcription factor complex	cellular_component	2	505533|511236
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological_process	120	280903|280931|280943|280950|281040|281119|281137|281139|281146|281270|281420|281542|281750|281770|281945|281971|281993|282563|282691|282705|286857|326578|327681|360192|404126|407216|407231|408005|414274|504512|505025|505167|505169|505662|505849|506097|506235|506618|506646|506945|507176|507319|507564|508638|508692|510008|510201|510666|510873|511077|512254|512977|513727|514246|514432|514997|515119|515266|515562|515680|515903|515933|516375|516979|517952|518321|519937|520631|521378|522980|523578|524530|524795|525680|526448|526652|527152|528744|530409|530411|532622|533087|533656|533896|537402|537791|538238|538609|538690|538793|538951|539003|539124|539430|539431|539547|539696|540083|540158|540230|540345|540466|540474|613524|613683|613812|614630|614679|615229|615952|616245|616425|616477|664650|767586|767867|767928|768225|786629|100137721
GO:0000123	histone acetyltransferase complex	cellular_component	17	280979|505401|509264|509694|510184|510678|511048|521918|529146|532483|532936|540194|540599|613730|614069|784720|100125836
GO:0000124	SAGA complex	cellular_component	2	509694|614069
GO:0000125	PCAF complex	cellular_component	1	532936
GO:0000132	establishment of mitotic spindle orientation	biological_process	5	282380|282513|286857|515158|539090
GO:0000137	Golgi cis cisterna	cellular_component	3	281901|509775|535424
GO:0000138	Golgi trans cisterna	cellular_component	2	281781|509775
GO:0000139	Golgi membrane	cellular_component	127	281022|281023|281040|281134|281151|281175|281177|281195|281653|281706|281715|281778|281780|281781|281901|282010|282132|282241|282276|282309|282527|282531|282705|282853|282854|286838|327663|327715|338042|338077|359721|360195|404167|404548|407222|493639|493642|493989|493992|497029|504790|505089|505438|506336|506551|506903|507157|507409|507488|507667|507878|508464|508510|509305|509758|509775|509933|509969|510312|510575|511030|511291|511861|512662|513258|513295|513430|513599|513629|514154|514706|515675|515771|515866|515935|515999|517345|520189|520552|520918|521829|523401|526045|526526|526544|527565|527934|528204|529167|529761|530871|532459|532555|532778|533007|533918|533994|534488|535071|535424|538602|538855|539035|539289|539354|540040|540183|540413|540520|613426|613575|613665|613669|613734|613901|614715|614717|614946|615310|617557|618055|618184|618580|767859|768007|781044|785911
GO:0000145	exocyst	cellular_component	3	513138|526306|540237
GO:0000146	microfilament motor activity	molecular_function	2	281935|317655
GO:0000149	SNARE binding	molecular_function	23	281511|281711|282116|282377|282531|507031|507309|507409|508675|509041|509248|510312|513138|514487|517728|532261|534304|540406|540853|614905|616923|768228|788566
GO:0000151	ubiquitin ligase complex	cellular_component	59	281831|281855|353120|359715|505200|505356|505376|505624|506605|506632|506962|507911|508235|508571|510666|511387|511585|511629|511798|511951|512207|512499|512589|512651|513023|513326|515933|517544|518857|519357|519695|519874|525161|528138|528862|530618|533364|534683|534852|535287|538086|538528|540089|540328|540660|541003|541130|613812|614152|614347|615427|616212|616275|617703|617771|767834|777600|777693|783986
GO:0000152	nuclear ubiquitin ligase complex	cellular_component	14	353120|505356|506605|506962|510666|512651|540089|540660|614152|614347|616275|617703|777693|783986
GO:0000153	cytoplasmic ubiquitin ligase complex	cellular_component	1	508571
GO:0000154	rRNA modification	biological_process	6	509725|516874|532204|533438|533987|618779
GO:0000155	phosphorelay sensor kinase activity	molecular_function	1	281881
GO:0000159	protein phosphatase type 2A complex	cellular_component	6	282320|509290|514460|516375|524361|533617
GO:0000160	phosphorelay signal transduction system	biological_process	1	281881
GO:0000164	protein phosphatase type 1 complex	cellular_component	1	511417
GO:0000165	MAPK cascade	biological_process	31	280728|280943|281038|281040|281043|281249|281251|281477|282089|282170|286883|327672|327712|407231|497017|505369|507204|510524|511077|512254|516422|529146|535327|537703|539431|540488|541235|613320|615215|767937|100125237
