go_id	go_term	go_domain	size	genes
GO:0000002	mitochondrial genome maintenance	biological_process	4	407231;505763;506988;533794
GO:0000012	single strand break repair	biological_process	2	281537;507989
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	2	512977;615637
GO:0000015	phosphopyruvate hydratase complex	cellular_component	2	281141;540303
GO:0000018	regulation of DNA recombination	biological_process	2	530506;537706
GO:0000027	ribosomal large subunit assembly	biological_process	2	282048;518501
GO:0000028	ribosomal small subunit assembly	biological_process	5	281898;514569;516063;523344;788861
GO:0000033	alpha-1,3-mannosyltransferase activity	molecular_function	1	538731
GO:0000035	acyl binding	molecular_function	1	281794
GO:0000038	very long-chain fatty acid metabolic process	biological_process	2	514832;515577
GO:0000042	protein targeting to Golgi	biological_process	1	614236
GO:0000045	autophagic vacuole assembly	biological_process	13	282705;327715;338472;408001;507340;508571;513049;514547;526612;527278;532686;540482;767903
GO:0000046	autophagic vacuole fusion	biological_process	3	507309;532261;534304
GO:0000049	tRNA binding	molecular_function	10	281581;506768;511197;512531;514867;522824;540872;614194;616544;781788
GO:0000050	urea cycle	biological_process	5	280726;280887;512771;513608;518752
GO:0000052	citrulline metabolic process	biological_process	3	280726;537391;540386
GO:0000053	argininosuccinate metabolic process	biological_process	1	280726
GO:0000054	ribosomal subunit export from nucleus	biological_process	1	286811
GO:0000055	ribosomal large subunit export from nucleus	biological_process	2	507675;509871
GO:0000056	ribosomal small subunit export from nucleus	biological_process	1	514569
GO:0000060	protein import into nucleus, translocation	biological_process	6	280943;281237;281542;282089;353245;613320
GO:0000062	fatty-acyl-CoA binding	molecular_function	6	327692;353112;353160;508284;515848;618245
GO:0000070	mitotic sister chromatid segregation	biological_process	2	538238;539594
GO:0000076	DNA replication checkpoint	biological_process	2	506176;540969
GO:0000077	DNA damage checkpoint	biological_process	3	513642;534964;616597
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	11	281667;281668;327679;407194;507473;509717;510244;512466;527124;528453;615512
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	16	281751;281867;281876;286852;404181;407168;509613;510244;511224;512977;519217;524530;525416;531886;538436;781044
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	biological_process	1	514085
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	9	281142;282658;414925;507731;507905;519874;527124;538238;540206
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	molecular_function	1	614713
GO:0000104	succinate dehydrogenase activity	molecular_function	3	281480;281481;327696
GO:0000109	nucleotide-excision repair complex	cellular_component	2	518857;615637
GO:0000118	histone deacetylase complex	cellular_component	1	327693
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological_process	109	280903;280931;280943;280950;281040;281119;281137;281139;281146;281270;281420;281542;281750;281770;281945;281971;281993;282563;282705;286857;326578;327681;360192;404126;407216;407231;414274;504512;505025;505167;505169;505662;505849;506097;506235;506618;506646;506945;507176;507319;507564;508638;508692;510008;510201;510666;510873;511077;512254;512977;513727;514432;514997;515119;515266;515562;515680;515903;516375;516979;517952;518321;519937;522980;523578;524530;524795;525680;526448;526652;527152;528744;530409;530411;532622;533087;533656;533896;537402;537791;538238;538690;538793;538951;539003;539124;539430;539431;539547;539696;540083;540230;540345;540466;540474;613524;613683;614679;615229;615952;616245;616477;664650;767586;767867;767928;768225;786629;100137721
GO:0000123	histone acetyltransferase complex	cellular_component	5	509264;532483;540194;784720;100125836
GO:0000124	SAGA complex	cellular_component	2	509694;614069
GO:0000125	PCAF complex	cellular_component	1	532936
GO:0000132	establishment of mitotic spindle orientation	biological_process	5	282380;282513;286857;515158;539090
GO:0000137	Golgi cis cisterna	cellular_component	3	281901;509775;535424
GO:0000138	Golgi trans cisterna	cellular_component	2	281781;509775
GO:0000139	Golgi membrane	cellular_component	101	281022;281023;281040;281134;281151;281195;281653;281706;281715;281778;281901;282010;282132;282276;282527;282531;282705;286838;327663;327715;338042;359721;404167;404548;407222;493639;493642;493989;497029;504790;505089;505438;506336;506551;506903;507157;507409;507488;507667;507878;508464;508510;509305;509758;509775;509933;509969;510312;511030;511291;511861;512662;513258;513295;513430;513629;514154;514706;515675;515866;517345;520918;526045;526526;527565;527934;528204;529167;529761;530871;532778;533007;533918;533994;534488;535071;535424;538602;538855;539035;539289;539354;540040;540183;540413;540520;613426;613575;613665;613669;613734;614715;614717;614946;615310;617557;618055;618580;768007;781044;785911
GO:0000145	exocyst	cellular_component	3	513138;526306;540237
GO:0000146	microfilament motor activity	molecular_function	1	317655
GO:0000149	SNARE binding	molecular_function	14	282377;282531;507031;507309;507409;508675;510312;513138;514487;534304;540406;614905;616923;788566
GO:0000151	ubiquitin ligase complex	cellular_component	14	281831;281855;508235;510666;513326;515933;517544;528862;535287;538528;541003;541130;613812;617771
GO:0000152	nuclear ubiquitin ligase complex	cellular_component	1	614152
GO:0000153	cytoplasmic ubiquitin ligase complex	cellular_component	1	508571
GO:0000155	phosphorelay sensor kinase activity	molecular_function	1	281881
GO:0000159	protein phosphatase type 2A complex	cellular_component	6	282320;509290;514460;516375;524361;533617
GO:0000160	phosphorelay signal transduction system	biological_process	1	281881
GO:0000164	protein phosphatase type 1 complex	cellular_component	1	511417
GO:0000165	MAPK cascade	biological_process	20	281040;281043;281249;281251;281477;282089;282170;286883;327712;407231;497017;507204;511077;512254;516422;535327;537703;539431;540488;541235
GO:0000166	nucleotide binding	molecular_function	94	280796;281229;281363;281816;281817;281951;281990;282018;282087;282119;282120;282296;282298;282485;282588;282716;327664;327693;327953;338071;338446;352960;404132;504305;504506;504536;505093;506615;506696;506917;507066;507168;507533;507564;507828;507989;508312;508460;508615;509598;509798;509802;509897;510872;511512;511773;511969;512136;512142;512330;512680;512824;513347;513787;514951;515307;516989;517409;518045;521304;522909;524155;524787;524795;525636;526135;529245;530464;532582;532864;534001;534216;535113;537706;539270;540158;540172;540276;613614;613653;614103;615156;615198;615695;615796;617969;692183;767937;768060;768231;781788;787681;789298;789999
GO:0000170	sphingosine hydroxylase activity	molecular_function	1	540994
GO:0000172	ribonuclease MRP complex	cellular_component	1	614870
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	5	508055;510934;540139;540516;777771
GO:0000176	nuclear exosome (RNase complex)	cellular_component	2	533245;615712
GO:0000177	cytoplasmic exosome (RNase complex)	cellular_component	4	513922;533245;615712;777771
GO:0000178	exosome (RNase complex)	cellular_component	5	508005;532080;533245;615712;618292
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	4	509725;516874;532204;533438
GO:0000182	rDNA binding	molecular_function	1	518046
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process	15	282296;504506;505417;510872;514548;515145;518045;522040;524155;531673;534165;541077;615492;767836;787259
GO:0000185	activation of MAPKKK activity	biological_process	4	280943;504939;505463;618405
GO:0000186	activation of MAPKK activity	biological_process	11	281161;282382;282705;407216;493726;504939;505369;526585;529146;616375;618405
GO:0000187	activation of MAPK activity	biological_process	15	280832;280943;281192;281251;281495;281977;281978;282178;286883;507196;507319;511435;529146;532393;614488
GO:0000188	inactivation of MAPK activity	biological_process	6	281040;505912;507294;515310;540424;541175
GO:0000209	protein polyubiquitination	biological_process	17	281225;281495;359715;505314;506103;506962;512207;513326;517544;518857;519357;534852;540667;540937;613423;617703;767894
GO:0000210	NAD+ diphosphatase activity	molecular_function	1	617720
GO:0000214	tRNA-intron endonuclease complex	cellular_component	1	506507
GO:0000215	tRNA 2'-phosphotransferase activity	molecular_function	1	510729
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	cellular_component	2	286768;338038
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	1	282657
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	molecular_function	1	507080
GO:0000226	microtubule cytoskeleton organization	biological_process	10	281181;281296;281348;327715;404053;504523;505066;527829;533147;614904
GO:0000228	nuclear chromosome	cellular_component	5	280691;508005;514749;533115;787528
GO:0000242	pericentriolar material	cellular_component	3	519463;532120;540216
GO:0000243	commitment complex	cellular_component	1	614553
GO:0000244	spliceosomal tri-snRNP complex assembly	biological_process	3	508042;510322;513868
GO:0000245	spliceosomal complex assembly	biological_process	5	281492;513868;525263;534216;540191
GO:0000250	lanosterol synthase activity	molecular_function	1	615906
GO:0000255	allantoin metabolic process	biological_process	1	282376
GO:0000256	allantoin catabolic process	biological_process	1	528311
GO:0000262	mitochondrial chromosome	cellular_component	1	505152
GO:0000266	mitochondrial fission	biological_process	5	506291;534254;540892;613472;615565
GO:0000271	polysaccharide biosynthetic process	biological_process	1	537812
GO:0000272	polysaccharide catabolic process	biological_process	1	282645
