go_id	go_name	go_domain	tax_id	annotation_type	size	gene_ids	gene_symbols
GO:0000145	exocyst	cellular_component	9615	direct	1	403958	RAB10
GO:0001968	fibronectin binding	molecular_function	9615	direct	1	475471	SFRP2
GO:0002455	humoral immune response mediated by circulating immunoglobulin	biological_process	9615	direct	2	403894|403988	ZP3|ZP2
GO:0003677	DNA binding	molecular_function	9615	direct	1	403924	MYC
GO:0004576	oligosaccharyl transferase activity	molecular_function	9615	direct	1	404012	DDOST
GO:0004993	serotonin receptor activity	molecular_function	9615	direct	1	403882	HTR2A
GO:0005178	integrin binding	molecular_function	9615	direct	1	475471	SFRP2
GO:0005198	structural molecule activity	molecular_function	9615	direct	1	403980	CAV1
GO:0005509	calcium ion binding	molecular_function	9615	direct	1	404010	PNLIPRP1
GO:0005515	protein binding	molecular_function	9615	direct	17	403498|403752|403774|403776|403845|403854|403880|403947|403958|403980|404006|442858|474680|477032|483134|612294|100856359	ARHGEF2|TJP1|RAB1A|TRDN|FN1|TJP2|STXBP2|RAB9A|RAB10|CAV1|SEC61A1|CDH1|HSPA4|CTNNB1|CASQ2|RAB13|RAPGEF2
GO:0005615	extracellular space	cellular_component	9615	direct	1	475471	SFRP2
GO:0005634	nucleus	cellular_component	9615	direct	2	403621|403924	PGR|MYC
GO:0005737	cytoplasm	cellular_component	9615	direct	3	403744|403745|403884	MX2|MX1|TRIB2
GO:0005764	lysosome	cellular_component	9615	direct	1	403403	PLA2G15
GO:0005794	Golgi apparatus	cellular_component	9615	direct	3	403938|403958|442991	LMAN2|RAB10|SLC35A3
GO:0005802	trans-Golgi network	cellular_component	9615	direct	1	403958	RAB10
GO:0005811	lipid particle	cellular_component	9615	direct	1	404008	RAB5A
GO:0005886	plasma membrane	cellular_component	9615	direct	5	403538|403882|477032|479040|612294	RHBG|HTR2A|CTNNB1|RHCG|RAB13
GO:0005887	integral component of plasma membrane	cellular_component	9615	direct	1	403610	FZD6
GO:0005891	voltage-gated calcium channel complex	cellular_component	9615	direct	2	403776|483134	TRDN|CASQ2
GO:0005901	caveola	cellular_component	9615	direct	1	403980	CAV1
GO:0005911	cell-cell junction	cellular_component	9615	direct	4	403752|442858|477032|100856359	TJP1|CDH1|CTNNB1|RAPGEF2
GO:0005923	bicellular tight junction	cellular_component	9615	direct	1	403752	TJP1
GO:0006486	protein glycosylation	biological_process	9615	direct	1	404012	DDOST
GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation	biological_process	9615	direct	2	403948|403953	TRAM1|SRP54
GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	biological_process	9615	direct	1	403953	SRP54
GO:0007165	signal transduction	biological_process	9615	direct	1	403809	RRBP1
GO:0007174	epidermal growth factor catabolic process	biological_process	9615	direct	1	404007	RAB7A
GO:0007210	serotonin receptor signaling pathway	biological_process	9615	direct	1	403882	HTR2A
GO:0007267	cell-cell signaling	biological_process	9615	direct	1	475471	SFRP2
GO:0007339	binding of sperm to zona pellucida	biological_process	9615	direct	1	403894	ZP3
GO:0008134	transcription factor binding	molecular_function	9615	direct	1	403498	ARHGEF2
GO:0008144	drug binding	molecular_function	9615	direct	1	403882	HTR2A
GO:0008250	oligosaccharyltransferase complex	cellular_component	9615	direct	1	404012	DDOST
GO:0008519	ammonium transmembrane transporter activity	molecular_function	9615	direct	2	403538|479040	RHBG|RHCG
